Repeat,SecondHarmonicFrequency_Hz,PeakAmplitude,BackgroundAmplitude,PeakToBackgroundRatio
1,164.944810544515,0.0264616870228957,0.000419595696279287,63.0647245849789
2,164.699385549863,0.0176322838223954,8.78206486896552e-05,200.776059907109
3,164.907800673481,0.00729580624345186,9.32018071827357e-05,78.279664997776
4,164.947978282004,0.00193138755179025,9.34384650204941e-05,20.6701549663368
5,164.944020593654,0.000662099356611868,0.000107371452874557,6.16643752958625
