Repeat,FundamentalFrequency_Hz,SecondHarmonicFrequency_Hz,FundamentalAmplitude,SecondHarmonicAmplitude,SecondHarmonicRatio_percent
1,82.4724052722573,164.944810544515,0.0372507549399075,0.0264616870228957,71.036646278937
2,82.4746543724654,164.699385549863,0.0101020241570738,0.0176322838223954,174.542087290977
3,82.7037606407912,164.907800673481,0.00225478262409756,0.00729580624345186,323.570270831402
4,82.4739891410022,164.947978282004,0.00220042604668508,0.00193138755179025,87.7733452891939
5,82.4720102968269,164.944020593654,0.000914805594681975,0.000662099356611868,72.3759627685751
